"","X1","X2"
"76","2018_1112_1158",NA
"77","2018_1112_1166",NA
"78","2018_1112_1168",NA
"79","2018_1112_1172",NA
"80","2018_1112_1181",NA
"81","2018_1112_1196",NA
"82","2018_1112_1199",NA
"83","2018_1112_1209",NA
"84","2018_1112_1211",NA
"85","2018_1112_1222",NA
"86","2018_1112_1233",NA
"87","2018_1112_1242",NA
"88","2018_1112_1243",NA
"89","2018_1112_1246",NA
"90","2018_1112_1252",NA
"91","2018_1112_1254",NA
"92","2018_1112_1260",NA
"93","2018_1112_1267",NA
"94","2018_1112_1274",NA
"95","2018_1112_1276",NA
"96","2018_1112_1277",NA
"97","2018_1112_1281",NA
"98","2018_1112_1285",NA
"99","2018_1112_1293",NA
"100","2018_1112_1300",NA
"101","2018_1112_1301",NA
"102","2018_1112_1305",NA
"103","2018_1112_1308",NA
"104","2018_1112_1314",NA
"105","2018_1112_1326",NA
"106","2018_1112_1328",NA
"107","2018_1112_1335",NA
"108","2018_1112_1344",NA
"109","2018_1112_1345",NA
"110","2018_1112_1347",NA
"111","2018_1112_1348",NA
"112","2018_1112_1355",NA
"113","2018_1112_1361",NA
"114","2018_1112_1371",NA
"115","2018_1112_1372",NA
"116","2018_1112_1382",NA
"117","2018_1112_1393",NA
"118","2018_1112_1395",NA
"119","2018_1112_1397",NA
"120","2018_1112_1400",NA
"121","2018_1112_1401",NA
"122","2018_1112_1403",NA
"123","2018_1112_1411",NA
"124","2018_1112_1417",NA
"125","2018_1112_1420",NA
"126","2018_1112_1422",NA
"127","2018_1112_1437",NA
"128","2018_1112_1438",NA
"129","2018_1112_1439",NA
"130","2018_1112_1452",NA
"131","2018_1112_1455",NA
"132","2018_1112_1460",NA
"133","2018_1112_1462",NA
"134","2018_1113_1116",NA
"135","2018_1113_1120",NA
"136","2018_1113_1137",NA
"137","2018_1113_1138",NA
"138","2018_1113_1139",NA
"139","2018_1113_1153",NA
"140","2018_1113_1155",NA
"141","2018_1113_1158",NA
"142","2018_1113_1166",NA
"143","2018_1113_1168",NA
"144","2018_1113_1172",NA
"145","2018_1113_1181",NA
"146","2018_1113_1196",NA
"147","2018_1113_1199",NA
"148","2018_1113_1209",NA
"149","2018_1113_1211",NA
"150","2018_1113_1222",NA
"151","2018_1113_1233",NA
"152","2018_1113_1242",NA
"153","2018_1113_1243",NA
"154","2018_1113_1246",NA
"155","2018_1113_1252",NA
"156","2018_1113_1254",NA
"157","2018_1113_1260",NA
"158","2018_1113_1267",NA
"159","2018_1113_1274",NA
"160","2018_1113_1276",NA
"161","2018_1113_1277",NA
"162","2018_1113_1281",NA
"163","2018_1113_1285",NA
"164","2018_1113_1293",NA
"165","2018_1113_1300",NA
"166","2018_1113_1301",NA
"167","2018_1113_1305",NA
"168","2018_1113_1308",NA
"169","2018_1113_1314",NA
"170","2018_1113_1326",NA
"171","2018_1113_1328",NA
"172","2018_1113_1335",NA
"173","2018_1113_1344",NA
"174","2018_1113_1345",NA
"175","2018_1113_1347",NA
"176","2018_1113_1348",NA
"177","2018_1113_1355",NA
"178","2018_1113_1361",NA
"179","2018_1113_1371",NA
"180","2018_1113_1372",NA
"181","2018_1113_1382",NA
"182","2018_1113_1393",NA
"183","2018_1113_1395",NA
"184","2018_1113_1397",NA
"185","2018_1113_1400",NA
"186","2018_1113_1401",NA
"187","2018_1113_1403",NA
"188","2018_1113_1411",NA
"189","2018_1113_1417",NA
"190","2018_1113_1420",NA
"191","2018_1113_1422",NA
"192","2018_1113_1437",NA
"193","2018_1113_1438",NA
"194","2018_1113_1439",NA
"195","2018_1113_1452",NA
"196","2018_1113_1455",NA
"197","2018_1113_1460",NA
"198","2018_1113_1462",NA
"199","2018_1116_1120",NA
"200","2018_1116_1137",NA
"201","2018_1116_1138",NA
"202","2018_1116_1139",NA
"203","2018_1116_1153",NA
"204","2018_1116_1155",NA
"205","2018_1116_1158",NA
"206","2018_1116_1166",NA
"207","2018_1116_1168",NA
"208","2018_1116_1172",NA
"209","2018_1116_1181",NA
"210","2018_1116_1196",NA
"211","2018_1116_1199",NA
"212","2018_1116_1209",NA
"213","2018_1116_1211",NA
"214","2018_1116_1222",NA
"215","2018_1116_1233",NA
"216","2018_1116_1242",NA
"217","2018_1116_1243",NA
"218","2018_1116_1246",NA
"219","2018_1116_1252",NA
"220","2018_1116_1254",NA
"221","2018_1116_1260",NA
"222","2018_1116_1267",NA
"223","2018_1116_1274",NA
"224","2018_1116_1276",NA
"225","2018_1116_1277",NA
"226","2018_1116_1281",NA
"227","2018_1116_1285",NA
"228","2018_1116_1293",NA
"229","2018_1116_1300",NA
"230","2018_1116_1301",NA
"231","2018_1116_1305",NA
"232","2018_1116_1308",NA
"233","2018_1116_1314",NA
"234","2018_1116_1326",NA
"235","2018_1116_1328",NA
"236","2018_1116_1335",NA
"237","2018_1116_1344",NA
"238","2018_1116_1345",NA
"239","2018_1116_1347",NA
"240","2018_1116_1348",NA
"241","2018_1116_1355",NA
"242","2018_1116_1361",NA
"243","2018_1116_1371",NA
"244","2018_1116_1372",NA
"245","2018_1116_1382",NA
"246","2018_1116_1393",NA
"247","2018_1116_1395",NA
"248","2018_1116_1397",NA
"249","2018_1116_1400",NA
"250","2018_1116_1401",NA
"251","2018_1116_1403",NA
"252","2018_1116_1411",NA
"253","2018_1116_1417",NA
"254","2018_1116_1420",NA
"255","2018_1116_1422",NA
"256","2018_1116_1437",NA
"257","2018_1116_1438",NA
"258","2018_1116_1439",NA
"259","2018_1116_1452",NA
"260","2018_1116_1455",NA
"261","2018_1116_1460",NA
"262","2018_1116_1462",NA
"263","2018_1120_1137",NA
"264","2018_1120_1138",NA
"265","2018_1120_1139",NA
"266","2018_1120_1153",NA
"267","2018_1120_1155",NA
"268","2018_1120_1158",NA
"269","2018_1120_1166",NA
"270","2018_1120_1168",NA
"271","2018_1120_1172",NA
"272","2018_1120_1181",NA
"273","2018_1120_1196",NA
"274","2018_1120_1199",NA
"275","2018_1120_1209",NA
"276","2018_1120_1211",NA
"277","2018_1120_1222",NA
"278","2018_1120_1233",NA
"279","2018_1120_1242",NA
"280","2018_1120_1243",NA
"281","2018_1120_1246",NA
"282","2018_1120_1252",NA
"283","2018_1120_1254",NA
"284","2018_1120_1260",NA
"285","2018_1120_1267",NA
"286","2018_1120_1274",NA
"287","2018_1120_1276",NA
"288","2018_1120_1277",NA
"289","2018_1120_1281",NA
"290","2018_1120_1285",NA
"291","2018_1120_1293",NA
"292","2018_1120_1300",NA
"293","2018_1120_1301",NA
"294","2018_1120_1305",NA
"295","2018_1120_1308",NA
"296","2018_1120_1314",NA
"297","2018_1120_1326",NA
"298","2018_1120_1328",NA
"299","2018_1120_1335",NA
"300","2018_1120_1344",NA
"301","2018_1120_1345",NA
"302","2018_1120_1347",NA
"303","2018_1120_1348",NA
"304","2018_1120_1355",NA
"305","2018_1120_1361",NA
"306","2018_1120_1371",NA
"307","2018_1120_1372",NA
"308","2018_1120_1382",NA
"309","2018_1120_1393",NA
"310","2018_1120_1395",NA
"311","2018_1120_1397",NA
"312","2018_1120_1400",NA
"313","2018_1120_1401",NA
"314","2018_1120_1403",NA
"315","2018_1120_1411",NA
"316","2018_1120_1417",NA
"317","2018_1120_1420",NA
"318","2018_1120_1422",NA
"319","2018_1120_1437",NA
"320","2018_1120_1438",NA
"321","2018_1120_1439",NA
"322","2018_1120_1452",NA
"323","2018_1120_1455",NA
"324","2018_1120_1460",NA
"325","2018_1120_1462",NA
"326","2018_1137_1138",NA
"327","2018_1137_1139",NA
"328","2018_1137_1153",NA
"329","2018_1137_1155",NA
"330","2018_1137_1158",NA
"331","2018_1137_1166",NA
"332","2018_1137_1168",NA
"333","2018_1137_1172",NA
"334","2018_1137_1181",NA
"335","2018_1137_1196",NA
"336","2018_1137_1199",NA
"337","2018_1137_1209",NA
"338","2018_1137_1211",NA
"339","2018_1137_1222",NA
"340","2018_1137_1233",NA
"341","2018_1137_1242",NA
"342","2018_1137_1243",NA
"343","2018_1137_1246",NA
"344","2018_1137_1252",NA
"345","2018_1137_1254",NA
"346","2018_1137_1260",NA
"347","2018_1137_1267",NA
"348","2018_1137_1274",NA
"349","2018_1137_1276",NA
"350","2018_1137_1277",NA
"351","2018_1137_1281",NA
"352","2018_1137_1285",NA
"353","2018_1137_1293",NA
"354","2018_1137_1300",NA
"355","2018_1137_1301",NA
"356","2018_1137_1305",NA
"357","2018_1137_1308",NA
"358","2018_1137_1314",NA
"359","2018_1137_1326",NA
"360","2018_1137_1328",NA
"361","2018_1137_1335",NA
"362","2018_1137_1344",NA
"363","2018_1137_1345",NA
"364","2018_1137_1347",NA
"365","2018_1137_1348",NA
"366","2018_1137_1355",NA
"367","2018_1137_1361",NA
"368","2018_1137_1371",NA
"369","2018_1137_1372",NA
"370","2018_1137_1382",NA
"371","2018_1137_1393",NA
"372","2018_1137_1395",NA
"373","2018_1137_1397",NA
"374","2018_1137_1400",NA
"375","2018_1137_1401",NA
"376","2018_1137_1403",NA
"377","2018_1137_1411",NA
"378","2018_1137_1417",NA
"379","2018_1137_1420",NA
"380","2018_1137_1422",NA
"381","2018_1137_1437",NA
"382","2018_1137_1438",NA
"383","2018_1137_1439",NA
"384","2018_1137_1452",NA
"385","2018_1137_1455",NA
"386","2018_1137_1460",NA
"387","2018_1137_1462",NA
"388","2018_1138_1139",NA
"389","2018_1138_1153",NA
"390","2018_1138_1155",NA
"391","2018_1138_1158",NA
"392","2018_1138_1166",NA
"393","2018_1138_1168",NA
"394","2018_1138_1172",NA
"395","2018_1138_1181",NA
"396","2018_1138_1196",NA
"397","2018_1138_1199",NA
"398","2018_1138_1209",NA
"399","2018_1138_1211",NA
"400","2018_1138_1222",NA
"401","2018_1138_1233",NA
"402","2018_1138_1242",NA
"403","2018_1138_1243",NA
"404","2018_1138_1246",NA
"405","2018_1138_1252",NA
"406","2018_1138_1254",NA
"407","2018_1138_1260",NA
"408","2018_1138_1267",NA
"409","2018_1138_1274",NA
"410","2018_1138_1276",NA
"411","2018_1138_1277",NA
"412","2018_1138_1281",NA
"413","2018_1138_1285",NA
"414","2018_1138_1293",NA
"415","2018_1138_1300",NA
"416","2018_1138_1301",NA
"417","2018_1138_1305",NA
"418","2018_1138_1308",NA
"419","2018_1138_1314",NA
"420","2018_1138_1326",NA
"421","2018_1138_1328",NA
"422","2018_1138_1335",NA
"423","2018_1138_1344",NA
"424","2018_1138_1345",NA
"425","2018_1138_1347",NA
"426","2018_1138_1348",NA
"427","2018_1138_1355",NA
"428","2018_1138_1361",NA
"429","2018_1138_1371",NA
"430","2018_1138_1372",NA
"431","2018_1138_1382",NA
"432","2018_1138_1393",NA
"433","2018_1138_1395",NA
"434","2018_1138_1397",NA
"435","2018_1138_1400",NA
"436","2018_1138_1401",NA
"437","2018_1138_1403",NA
"438","2018_1138_1411",NA
"439","2018_1138_1417",NA
"440","2018_1138_1420",NA
"441","2018_1138_1422",NA
"442","2018_1138_1437",NA
"443","2018_1138_1438",NA
"444","2018_1138_1439",NA
"445","2018_1138_1452",NA
"446","2018_1138_1455",NA
"447","2018_1138_1460",NA
"448","2018_1138_1462",NA
"449","2018_1139_1153",NA
"450","2018_1139_1155",NA
"451","2018_1139_1158",NA
"452","2018_1139_1166",NA
"453","2018_1139_1168",NA
"454","2018_1139_1172",NA
"455","2018_1139_1181",NA
"456","2018_1139_1196",NA
"457","2018_1139_1199",NA
"458","2018_1139_1209",NA
"459","2018_1139_1211",NA
"460","2018_1139_1222",NA
"461","2018_1139_1233",NA
"462","2018_1139_1242",NA
"463","2018_1139_1243",NA
"464","2018_1139_1246",NA
"465","2018_1139_1252",NA
"466","2018_1139_1254",NA
"467","2018_1139_1260",NA
"468","2018_1139_1267",NA
"469","2018_1139_1274",NA
"470","2018_1139_1276",NA
"471","2018_1139_1277",NA
"472","2018_1139_1281",NA
"473","2018_1139_1285",NA
"474","2018_1139_1293",NA
"475","2018_1139_1300",NA
"476","2018_1139_1301",NA
"477","2018_1139_1305",NA
"478","2018_1139_1308",NA
"479","2018_1139_1314",NA
"480","2018_1139_1326",NA
"481","2018_1139_1328",NA
"482","2018_1139_1335",NA
"483","2018_1139_1344",NA
"484","2018_1139_1345",NA
"485","2018_1139_1347",NA
"486","2018_1139_1348",NA
"487","2018_1139_1355",NA
"488","2018_1139_1361",NA
"489","2018_1139_1371",NA
"490","2018_1139_1372",NA
"491","2018_1139_1382",NA
"492","2018_1139_1393",NA
"493","2018_1139_1395",NA
"494","2018_1139_1397",NA
"495","2018_1139_1400",NA
"496","2018_1139_1401",NA
"497","2018_1139_1403",NA
"498","2018_1139_1411",NA
"499","2018_1139_1417",NA
"500","2018_1139_1420",NA
"501","2018_1139_1422",NA
"502","2018_1139_1437",NA
"503","2018_1139_1438",NA
"504","2018_1139_1439",NA
"505","2018_1139_1452",NA
"506","2018_1139_1455",NA
"507","2018_1139_1460",NA
"508","2018_1139_1462",NA
"509","2018_1153_1155",NA
"510","2018_1153_1158",NA
"511","2018_1153_1166",NA
"512","2018_1153_1168",NA
"513","2018_1153_1172",NA
"514","2018_1153_1181",NA
"515","2018_1153_1196",NA
"516","2018_1153_1199",NA
"517","2018_1153_1209",NA
"518","2018_1153_1211",NA
"519","2018_1153_1222",NA
"520","2018_1153_1233",NA
"521","2018_1153_1242",NA
"522","2018_1153_1243",NA
"523","2018_1153_1246",NA
"524","2018_1153_1252",NA
"525","2018_1153_1254",NA
"526","2018_1153_1260",NA
"527","2018_1153_1267",NA
"528","2018_1153_1274",NA
"529","2018_1153_1276",NA
"530","2018_1153_1277",NA
"531","2018_1153_1281",NA
"532","2018_1153_1285",NA
"533","2018_1153_1293",NA
"534","2018_1153_1300",NA
"535","2018_1153_1301",NA
"536","2018_1153_1305",NA
"537","2018_1153_1308",NA
"538","2018_1153_1314",NA
"539","2018_1153_1326",NA
"540","2018_1153_1328",NA
"541","2018_1153_1335",NA
"542","2018_1153_1344",NA
"543","2018_1153_1345",NA
"544","2018_1153_1347",NA
"545","2018_1153_1348",NA
"546","2018_1153_1355",NA
"547","2018_1153_1361",NA
"548","2018_1153_1371",NA
"549","2018_1153_1372",NA
"550","2018_1153_1382",NA
"551","2018_1153_1393",NA
"552","2018_1153_1395",NA
"553","2018_1153_1397",NA
"554","2018_1153_1400",NA
"555","2018_1153_1401",NA
"556","2018_1153_1403",NA
"557","2018_1153_1411",NA
"558","2018_1153_1417",NA
"559","2018_1153_1420",NA
"560","2018_1153_1422",NA
"561","2018_1153_1437",NA
"562","2018_1153_1438",NA
"563","2018_1153_1439",NA
"564","2018_1153_1452",NA
"565","2018_1153_1455",NA
"566","2018_1153_1460",NA
"567","2018_1153_1462",NA
"568","2018_1155_1158",NA
"569","2018_1155_1166",NA
"570","2018_1155_1168",NA
"571","2018_1155_1172",NA
"572","2018_1155_1181",NA
"573","2018_1155_1196",NA
"574","2018_1155_1199",NA
"575","2018_1155_1209",NA
"576","2018_1155_1211",NA
"577","2018_1155_1222",NA
"578","2018_1155_1233",NA
"579","2018_1155_1242",NA
"580","2018_1155_1243",NA
"581","2018_1155_1246",NA
"582","2018_1155_1252",NA
"583","2018_1155_1254",NA
"584","2018_1155_1260",NA
"585","2018_1155_1267",NA
"586","2018_1155_1274",NA
"587","2018_1155_1276",NA
"588","2018_1155_1277",NA
"589","2018_1155_1281",NA
"590","2018_1155_1285",NA
"591","2018_1155_1293",NA
"592","2018_1155_1300",NA
"593","2018_1155_1301",NA
"594","2018_1155_1305",NA
"595","2018_1155_1308",NA
"596","2018_1155_1314",NA
"597","2018_1155_1326",NA
"598","2018_1155_1328",NA
"599","2018_1155_1335",NA
"600","2018_1155_1344",NA
"601","2018_1155_1345",NA
"602","2018_1155_1347",NA
"603","2018_1155_1348",NA
"604","2018_1155_1355",NA
"605","2018_1155_1361",NA
"606","2018_1155_1371",NA
"607","2018_1155_1372",NA
"608","2018_1155_1382",NA
"609","2018_1155_1393",NA
"610","2018_1155_1395",NA
"611","2018_1155_1397",NA
"612","2018_1155_1400",NA
"613","2018_1155_1401",NA
"614","2018_1155_1403",NA
"615","2018_1155_1411",NA
"616","2018_1155_1417",NA
"617","2018_1155_1420",NA
"618","2018_1155_1422",NA
"619","2018_1155_1437",NA
"620","2018_1155_1438",NA
"621","2018_1155_1439",NA
"622","2018_1155_1452",NA
"623","2018_1155_1455",NA
"624","2018_1155_1460",NA
"625","2018_1155_1462",NA
"626","2018_1158_1166",NA
"627","2018_1158_1168",NA
"628","2018_1158_1172",NA
"629","2018_1158_1181",NA
"630","2018_1158_1196",NA
"631","2018_1158_1199",NA
"632","2018_1158_1209",NA
"633","2018_1158_1211",NA
"634","2018_1158_1222",NA
"635","2018_1158_1233",NA
"636","2018_1158_1242",NA
"637","2018_1158_1243",NA
"638","2018_1158_1246",NA
"639","2018_1158_1252",NA
"640","2018_1158_1254",NA
"641","2018_1158_1260",NA
"642","2018_1158_1267",NA
"643","2018_1158_1274",NA
"644","2018_1158_1276",NA
"645","2018_1158_1277",NA
"646","2018_1158_1281",NA
"647","2018_1158_1285",NA
"648","2018_1158_1293",NA
"649","2018_1158_1300",NA
"650","2018_1158_1301",NA
"651","2018_1158_1305",NA
"652","2018_1158_1308",NA
"653","2018_1158_1314",NA
"654","2018_1158_1326",NA
"655","2018_1158_1328",NA
"656","2018_1158_1335",NA
"657","2018_1158_1344",NA
"658","2018_1158_1345",NA
"659","2018_1158_1347",NA
"660","2018_1158_1348",NA
"661","2018_1158_1355",NA
"662","2018_1158_1361",NA
"663","2018_1158_1371",NA
"664","2018_1158_1372",NA
"665","2018_1158_1382",NA
"666","2018_1158_1393",NA
"667","2018_1158_1395",NA
"668","2018_1158_1397",NA
"669","2018_1158_1400",NA
"670","2018_1158_1401",NA
"671","2018_1158_1403",NA
"672","2018_1158_1411",NA
"673","2018_1158_1417",NA
"674","2018_1158_1420",NA
"675","2018_1158_1422",NA
"676","2018_1158_1437",NA
"677","2018_1158_1438",NA
"678","2018_1158_1439",NA
"679","2018_1158_1452",NA
"680","2018_1158_1455",NA
"681","2018_1158_1460",NA
"682","2018_1158_1462",NA
"683","2018_1166_1168",NA
"684","2018_1166_1172",NA
"685","2018_1166_1181",NA
"686","2018_1166_1196",NA
"687","2018_1166_1199",NA
"688","2018_1166_1209",NA
"689","2018_1166_1211",NA
"690","2018_1166_1222",NA
"691","2018_1166_1233",NA
"692","2018_1166_1242",NA
"693","2018_1166_1243",NA
"694","2018_1166_1246",NA
"695","2018_1166_1252",NA
"696","2018_1166_1254",NA
"697","2018_1166_1260",NA
"698","2018_1166_1267",NA
"699","2018_1166_1274",NA
"700","2018_1166_1276",NA
"701","2018_1166_1277",NA
"702","2018_1166_1281",NA
"703","2018_1166_1285",NA
"704","2018_1166_1293",NA
"705","2018_1166_1300",NA
"706","2018_1166_1301",NA
"707","2018_1166_1305",NA
"708","2018_1166_1308",NA
"709","2018_1166_1314",NA
"710","2018_1166_1326",NA
"711","2018_1166_1328",NA
"712","2018_1166_1335",NA
"713","2018_1166_1344",NA
"714","2018_1166_1345",NA
"715","2018_1166_1347",NA
"716","2018_1166_1348",NA
"717","2018_1166_1355",NA
"718","2018_1166_1361",NA
"719","2018_1166_1371",NA
"720","2018_1166_1372",NA
"721","2018_1166_1382",NA
"722","2018_1166_1393",NA
"723","2018_1166_1395",NA
"724","2018_1166_1397",NA
"725","2018_1166_1400",NA
"726","2018_1166_1401",NA
"727","2018_1166_1403",NA
"728","2018_1166_1411",NA
"729","2018_1166_1417",NA
"730","2018_1166_1420",NA
"731","2018_1166_1422",NA
"732","2018_1166_1437",NA
"733","2018_1166_1438",NA
"734","2018_1166_1439",NA
"735","2018_1166_1452",NA
"736","2018_1166_1455",NA
"737","2018_1166_1460",NA
"738","2018_1166_1462",NA
"739","2018_1168_1172",NA
"740","2018_1168_1181",NA
"741","2018_1168_1196",NA
"742","2018_1168_1199",NA
"743","2018_1168_1209",NA
"744","2018_1168_1211",NA
"745","2018_1168_1222",NA
"746","2018_1168_1233",NA
"747","2018_1168_1242",NA
"748","2018_1168_1243",NA
"749","2018_1168_1246",NA
"750","2018_1168_1252",NA
"751","2018_1168_1254",NA
"752","2018_1168_1260",NA
"753","2018_1168_1267",NA
"754","2018_1168_1274",NA
"755","2018_1168_1276",NA
"756","2018_1168_1277",NA
"757","2018_1168_1281",NA
"758","2018_1168_1285",NA
"759","2018_1168_1293",NA
"760","2018_1168_1300",NA
"761","2018_1168_1301",NA
"762","2018_1168_1305",NA
"763","2018_1168_1308",NA
"764","2018_1168_1314",NA
"765","2018_1168_1326",NA
"766","2018_1168_1328",NA
"767","2018_1168_1335",NA
"768","2018_1168_1344",NA
"769","2018_1168_1345",NA
"770","2018_1168_1347",NA
"771","2018_1168_1348",NA
"772","2018_1168_1355",NA
"773","2018_1168_1361",NA
"774","2018_1168_1371",NA
"775","2018_1168_1372",NA
"776","2018_1168_1382",NA
"777","2018_1168_1393",NA
"778","2018_1168_1395",NA
"779","2018_1168_1397",NA
"780","2018_1168_1400",NA
"781","2018_1168_1401",NA
"782","2018_1168_1403",NA
"783","2018_1168_1411",NA
"784","2018_1168_1417",NA
"785","2018_1168_1420",NA
"786","2018_1168_1422",NA
"787","2018_1168_1437",NA
"788","2018_1168_1438",NA
"789","2018_1168_1439",NA
"790","2018_1168_1452",NA
"791","2018_1168_1455",NA
"792","2018_1168_1460",NA
"793","2018_1168_1462",NA
"794","2018_1172_1181",NA
"795","2018_1172_1196",NA
"796","2018_1172_1199",NA
"797","2018_1172_1209",NA
"798","2018_1172_1211",NA
"799","2018_1172_1222",NA
"800","2018_1172_1233",NA
"801","2018_1172_1242",NA
"802","2018_1172_1243",NA
"803","2018_1172_1246",NA
"804","2018_1172_1252",NA
"805","2018_1172_1254",NA
"806","2018_1172_1260",NA
"807","2018_1172_1267",NA
"808","2018_1172_1274",NA
"809","2018_1172_1276",NA
"810","2018_1172_1277",NA
"811","2018_1172_1281",NA
"812","2018_1172_1285",NA
"813","2018_1172_1293",NA
"814","2018_1172_1300",NA
"815","2018_1172_1301",NA
"816","2018_1172_1305",NA
"817","2018_1172_1308",NA
"818","2018_1172_1314",NA
"819","2018_1172_1326",NA
"820","2018_1172_1328",NA
"821","2018_1172_1335",NA
"822","2018_1172_1344",NA
"823","2018_1172_1345",NA
"824","2018_1172_1347",NA
"825","2018_1172_1348",NA
"826","2018_1172_1355",NA
"827","2018_1172_1361",NA
"828","2018_1172_1371",NA
"829","2018_1172_1372",NA
"830","2018_1172_1382",NA
"831","2018_1172_1393",NA
"832","2018_1172_1395",NA
"833","2018_1172_1397",NA
"834","2018_1172_1400",NA
"835","2018_1172_1401",NA
"836","2018_1172_1403",NA
"837","2018_1172_1411",NA
"838","2018_1172_1417",NA
"839","2018_1172_1420",NA
"840","2018_1172_1422",NA
"841","2018_1172_1437",NA
"842","2018_1172_1438",NA
"843","2018_1172_1439",NA
"844","2018_1172_1452",NA
"845","2018_1172_1455",NA
"846","2018_1172_1460",NA
"847","2018_1172_1462",NA
"848","2018_1181_1196",NA
"849","2018_1181_1199",NA
"850","2018_1181_1209",NA
"851","2018_1181_1211",NA
"852","2018_1181_1222",NA
"853","2018_1181_1233",NA
"854","2018_1181_1242",NA
"855","2018_1181_1243",NA
"856","2018_1181_1246",NA
"857","2018_1181_1252",NA
"858","2018_1181_1254",NA
"859","2018_1181_1260",NA
"860","2018_1181_1267",NA
"861","2018_1181_1274",NA
"862","2018_1181_1276",NA
"863","2018_1181_1277",NA
"864","2018_1181_1281",NA
"865","2018_1181_1285",NA
"866","2018_1181_1293",NA
"867","2018_1181_1300",NA
"868","2018_1181_1301",NA
"869","2018_1181_1305",NA
"870","2018_1181_1308",NA
"871","2018_1181_1314",NA
"872","2018_1181_1326",NA
"873","2018_1181_1328",NA
"874","2018_1181_1335",NA
"875","2018_1181_1344",NA
"876","2018_1181_1345",NA
"877","2018_1181_1347",NA
"878","2018_1181_1348",NA
"879","2018_1181_1355",NA
"880","2018_1181_1361",NA
"881","2018_1181_1371",NA
"882","2018_1181_1372",NA
"883","2018_1181_1382",NA
"884","2018_1181_1393",NA
"885","2018_1181_1395",NA
"886","2018_1181_1397",NA
"887","2018_1181_1400",NA
"888","2018_1181_1401",NA
"889","2018_1181_1403",NA
"890","2018_1181_1411",NA
"891","2018_1181_1417",NA
"892","2018_1181_1420",NA
"893","2018_1181_1422",NA
"894","2018_1181_1437",NA
"895","2018_1181_1438",NA
"896","2018_1181_1439",NA
"897","2018_1181_1452",NA
"898","2018_1181_1455",NA
"899","2018_1181_1460",NA
"900","2018_1181_1462",NA
"901","2018_1196_1199",NA
"902","2018_1196_1209",NA
"903","2018_1196_1211",NA
"904","2018_1196_1222",NA
"905","2018_1196_1233",NA
"906","2018_1196_1242",NA
"907","2018_1196_1243",NA
"908","2018_1196_1246",NA
"909","2018_1196_1252",NA
"910","2018_1196_1254",NA
"911","2018_1196_1260",NA
"912","2018_1196_1267",NA
"913","2018_1196_1274",NA
"914","2018_1196_1276",NA
"915","2018_1196_1277",NA
"916","2018_1196_1281",NA
"917","2018_1196_1285",NA
"918","2018_1196_1293",NA
"919","2018_1196_1300",NA
"920","2018_1196_1301",NA
"921","2018_1196_1305",NA
"922","2018_1196_1308",NA
"923","2018_1196_1314",NA
"924","2018_1196_1326",NA
"925","2018_1196_1328",NA
"926","2018_1196_1335",NA
"927","2018_1196_1344",NA
"928","2018_1196_1345",NA
"929","2018_1196_1347",NA
"930","2018_1196_1348",NA
"931","2018_1196_1355",NA
"932","2018_1196_1361",NA
